month,hour,maintenance,failure,weekday,temprature,simple_pos
8,4,721,1248,6,223310.7202,1
8,3,721,1248,6,223310.7202,1
8,2,721,1248,6,223310.7202,1
8,1,721,1527,6,223310.7202,1
8,0,742,2639,6,223310.7202,1
8,23,587,1862,5,219681.4199,0
8,22,587,1709,5,219681.4199,0
8,21,587,1709,5,219681.4199,1
8,20,587,1709,5,219681.4199,1
8,19,587,2040,5,219681.4199,1
8,18,587,1834,5,219681.4199,1
8,17,587,1503,5,219681.4199,1
8,16,587,1503,5,219681.4199,1
8,15,587,1095,5,219681.4199,1
8,14,587,2436,5,219681.4199,1
8,13,587,3004,5,219681.4199,1
8,12,587,3304,5,219681.4199,1
8,11,587,3706,5,219681.4199,1
8,10,587,3836,5,219681.4199,1
8,9,587,3754,5,219681.4199,1
8,8,587,3144,5,219681.4199,1
8,7,587,3169,5,219681.4199,1
8,6,587,2421,5,219681.4199,1
8,5,587,2574,5,219681.4199,1
8,4,587,2780,5,219681.4199,1
8,3,587,1983,5,219681.4199,1
8,2,587,2108,5,219681.4199,1
8,1,587,2326,5,219681.4199,1
8,0,587,5623,5,219681.4199,1
8,23,565,5089,4,223764.8553,1
8,22,565,5304,4,223764.8553,1
8,21,565,5644,4,223764.8553,1
8,20,565,2425,4,223764.8553,1
8,19,565,1916,4,223764.8553,0
8,18,565,2046,4,223764.8553,1
8,17,565,1795,4,223764.8553,1
8,16,565,1450,4,223764.8553,1
8,15,565,1523,4,223764.8553,1
8,14,562,1393,4,223764.8553,1
8,13,562,1393,4,223764.8553,1
8,12,562,1263,4,223764.8553,1
8,11,562,1263,4,223764.8553,1
8,10,562,1263,4,223764.8553,1
8,9,562,1320,4,223764.8553,1
8,8,562,1477,4,223764.8553,1
8,7,562,1741,4,223764.8553,1
8,6,562,1862,4,223764.8553,1
8,5,562,1545,4,223764.8553,1
8,4,562,1751,4,223764.8553,1
8,3,562,2866,4,223764.8553,1
8,2,562,2866,4,223764.8553,1
8,1,562,2866,4,223764.8553,1
8,0,562,4466,4,223764.8553,1
8,23,562,3118,3,219257.0213,1
8,22,562,3118,3,219257.0213,1
8,21,562,2012,3,219257.0213,1
8,20,562,1412,3,219257.0213,1
8,19,562,1412,3,219257.0213,1
8,18,562,1206,3,219257.0213,1
8,17,562,1925,3,219257.0213,1
8,16,562,1925,3,219257.0213,1
8,15,562,2078,3,219257.0213,1
8,14,562,2238,3,219257.0213,1
8,13,562,2399,3,219257.0213,1
8,12,562,2499,3,219257.0213,0
8,11,562,2239,3,219257.0213,0
8,10,562,2696,3,219257.0213,0
8,9,562,4215,3,219257.0213,1
8,8,562,3955,3,219257.0213,1
8,7,562,1665,3,219257.0213,0
8,6,562,2100,3,219257.0213,1
8,5,562,2940,3,219257.0213,1
8,4,562,2306,3,219257.0213,0
8,3,562,2306,3,219257.0213,1
8,2,562,2306,3,219257.0213,1
8,1,562,2145,3,219257.0213,1
8,0,562,3344,3,219257.0213,1
8,23,562,2784,2,222047.5366,1
8,22,562,2784,2,222047.5366,1
8,21,407,2654,2,222047.5366,1
8,20,407,2784,2,222047.5366,1
8,19,407,2654,2,222047.5366,1
8,18,407,2578,2,222047.5366,1
8,17,407,2537,2,222047.5366,1
8,16,407,2457,2,222047.5366,1
8,15,407,1617,2,222047.5366,1
8,14,407,1640,2,222047.5366,1
8,13,407,1640,2,222047.5366,1
8,12,407,1755,2,222047.5366,1
8,11,407,1625,2,222047.5366,1
8,10,407,2192,2,222047.5366,1
8,9,407,2192,2,222047.5366,1
8,8,407,1950,2,222047.5366,1
8,7,407,2397,2,222047.5366,1
8,6,407,2409,2,222047.5366,1
8,5,407,2409,2,222047.5366,1
8,4,407,2168,2,222047.5366,1
8,3,407,2614,2,222047.5366,1
8,2,407,2328,2,222047.5366,1
8,1,407,1920,2,222047.5366,1
8,0,407,3329,2,222047.5366,1
8,23,407,2873,1,219714.7415,1
8,22,407,2344,1,219714.7415,1
8,21,407,2338,1,219714.7415,1
8,20,407,2621,1,219714.7415,1
8,19,407,2621,1,219714.7415,1
8,18,407,2184,1,219714.7415,1
8,17,407,2270,1,219714.7415,1
8,16,407,2465,1,219714.7415,1
8,15,407,2462,1,219714.7415,1
8,14,407,2507,1,219714.7415,1
8,13,407,2946,1,219714.7415,1
8,12,407,2946,1,219714.7415,1
8,11,407,2895,1,219714.7415,1
8,10,407,2609,1,219714.7415,1
8,9,407,1771,1,219714.7415,1
